field name,mode,type,description
area_1st,NULLABLE,INTEGER,"エリアコード：100_gam_data.p_NetworkClicks_22678268584テーブルのCustomTargetingカラムから抽出したsu_pcodeに基づいて生成。-1:optout,1:北海道,2:東北,3:北関東,4:南関東,5:甲信越,6:東海,7:北陸,8:近畿,9:中国,10:四国,11:九州,12:沖縄 ※左記定義以外はnullに変換"
region_1st,NULLABLE,INTEGER,"都道府県コード：100_gam_data.p_NetworkClicks_22678268584テーブルのCustomTargetingカラムから抽出したsu_pcodeに基づいて生成。-1:optout,1:北海道,2:青森,3:岩手,4:宮城,5:秋田,6:山形,7:福島,8:茨城,9:栃木,10:群馬,11:埼玉,12:千葉,13:東京,14:神奈川,15:新潟,16:富山,17:石川,18:福井,19:山梨,20:長野,21:岐阜,22:静岡,23:愛知,24:三重,25:滋賀,26:京都,27:大阪,28:兵庫,29:奈良,30:和歌山,31:鳥取,32:島根,33:岡山,34:広島,35:山口,36:徳島,37:香川,38:愛媛,39:高知,40:福岡,41:佐賀,42:長崎,43:熊本,44:大分,45:宮崎,46:鹿児島,47:沖縄。※左記定義以外はnullに変換"
interest,REPEATED,INTEGER,"興味関心：100_gam_data.p_NetworkClicks_22678268584テーブルのCustomTargetingカラムから抽出したsu_interestに基づいて生成。null / -1:optout / 1:無回答,2:ビジネス・経済,3:自動車,4:テクノロジー・ガジェット,5:ゲーム,6:ラグジュアリー,7:ショッピング・ファッション,8:ヘルスケア,9:美容,10:教育・子育て,11:旅行,12:映画,13:金融・ファイナンス,14:スポーツ・フィットネス,15:料理・グルメ,16:ペット,17:アート・芸術・音楽,18:環境・SDGs ※optout以外に数字に変換できないものはnullに変換"
cuename,NULLABLE,INTEGER,"広告枠コード：1(番宣のみ):midbp,2(提供社/番宣のみOKの枠):midcmspecial,3(ローカルCM):midlt,4(ラインナップ):midpr,5(スポットCM):midpt,6(SpecialLive用):midroll,7(ステブレ):midsb,8(RT、DVR):postroll,9(RT、DVR):preroll,1000~1099:midcm000~099,1999:midcm999,0:その他 ※左記定義以外はnullに変換"
zipcode,NULLABLE,STRING,郵便番号
ct_program,NULLABLE,STRING,CustomTargeting内番組コード(リアルタイムのみ)
pmp,NULLABLE,INTEGER,"PMPコード：PMPのときのみ。null/1:AJA,2:TVer,3:電通系PMP（PremiumView等）,4:HDY系PMP（BVAD等）,5:PubMatic,6:SpringServe,7:Publica,0:Other"
pmp_detail,NULLABLE,INTEGER,"PMP(オーダー分類)コード：PMPのときのみ。null/1:AJAPMP,2:AJAPMP（Cygames用）,3:TVer広告,4:TVerPMP,5:Magnite・CCI系PMP（MagniteStreamingSSP）,6:CCI系PMP（MCM）,7:CCI系PMP（fluctSSP）,8:電通系PMP（AM360 as SSP-PD）,9:HDY系PMP（クリッカブル）,10:HDY系PMP（ノンクリッカブル）,11:HDY系PMP（MCM）,12:HDY系PMP（AM360 as SSP-PD）,13:PubMaticPMP,14:SpringServe,15:他PMP（AM360 as SSP-PD）,16:Open Auction（MarketPrace Package）,17:Xandr,18:OpenX,19:VOXX,20:他PMP（AM360 as SSP-PG）,21:Publica"
ppid,NULLABLE,STRING,100_gam_data.p_NetworkVideoConversions_22678268584テーブルのCustomTargetingカラムから抽出したppid_dt
vr_suid,NULLABLE,STRING,iuid廃止対応用ID
